#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
130,Cabo Verde,"35,227",,309 ,,"34,114",,804,23,"62,572",549,"208,220","369,854","562,979 ",Africa,"161,8223",,,"1,428"
131,Martinique,"34,845",,405 ,,104,,"34,336",1,"92,938","1,080","315,249","840,828","374,927 ",North America,119261,,,"91,580"
132,French Guiana,"34,375",,215 ,,"9,995",,"24,165",27,"111,745",699,"358,023","1,163,852","307,619 ",South America,"91,4311",,,"78,555"
133,Mauritania,"33,309",,705 ,,"29,987",,"2,617",16,"6,953",147,"441,518","92,161","4,790,733 ",Africa,"1446,79511",,,546
134,Guinea,"29,209",,326 ,,"26,658",,"2,225",24,"2,157",24,"534,667","39,477","13,543,911 ",Africa,"46441,54625",,,164
135,Suriname,"28,840",,715 ,,"24,171",,"3,954",12,"48,657","1,206","102,969","173,723","592,720 ",South America,218296,,,"6,671"
136,Syria,"27,654",,"2,003 ",,"22,429",,"3,222",,"1,537",111,"103,566","5,756","17,991,592 ",Asia,"6518,982174",,,179
137,Gabon,"25,819",,165 ,,"25,565",,89,6,"11,292",72,"1,078,893","471,876","2,286,390 ",Africa,"8913,8572",,,39
138,Guyana,"25,323",,611 ,,"22,878",,"1,834",26,"32,016",772,"265,263","335,372","790,951 ",South America,"311,2953",,,"2,319"
139,Togo,"21,181",,180 ,,"16,691",,"4,310",,"2,491",21,"460,738","54,186","8,502,825 ",Africa,"40147,23818",,,507
140,Haiti,"20,850",,584 ,,"17,669",,"2,597",,"1,803",51,"107,702","9,314","11,563,434 ",North America,"55519,800107",,,225
141,Seychelles,"19,777",,104 ,,"19,053",,620,,"199,661","1,050","21,504","217,096","99,053 ",Africa,59525,,,"6,259"
142,Mayotte,"19,739",,175 ,,"2,964",,"16,600",1,"70,392",624,"176,919","630,916","280,416 ",Africa,"141,6022",,,"59,198"
143,Bahamas,"17,940",,354 ,,"14,595",,"2,991",19,"45,121",890,"132,232","332,579","397,596 ",North America,"221,1233",,,"7,523"
144,Papua New Guinea,"17,838",,192 ,,"17,547",,99,7,"1,951",21,"150,870","16,501","9,142,952 ",Australia/Oceania,"51347,62061",,,11
